0 -5763.339772
0 -5763.339772
0 -5763.339772
0 -5763.339772
0 -5763.339772
0 -5763.339772
0 -5763.339772
0 -5763.339772
0 -5763.339772
0 -5763.339772
<<<<<<< HEAD
0 -5763.339772
0 -5763.339772
0 -5763.339772
0.25 -5788.531756
=======
>>>>>>> 0a9c4e05150a07646fced8f980a1bf964beff9e1
0.25 -5788.531756
0.25 -5788.531756
0.25 -5788.531756
0.25 -5788.531756
0.25 -5788.531756
0.25 -5788.531756
0.25 -5788.531756
0.25 -5788.531756
0.25 -5788.531756
0.25 -5788.531756
<<<<<<< HEAD
0.25 -5788.531756
0.25 -5788.531756
0.5 -5813.685793
0.5 -5813.685793
=======
>>>>>>> 0a9c4e05150a07646fced8f980a1bf964beff9e1
0.5 -5813.685793
0.5 -5813.685793
0.5 -5813.685793
0.5 -5813.685793
0.5 -5813.685793
0.5 -5813.685793
0.5 -5813.685793
0.5 -5813.685793
0.5 -5813.685793
0.5 -5813.685793
<<<<<<< HEAD
0.5 -5813.685793
0.75 -5838.793739
0.75 -5838.793739
=======
>>>>>>> 0a9c4e05150a07646fced8f980a1bf964beff9e1
0.75 -5838.793739
0.75 -5838.793739
0.75 -5838.793739
0.75 -5838.793739
0.75 -5838.793739
0.75 -5838.793739
0.75 -5838.793739
0.75 -5838.793739
0.75 -5838.793739
0.75 -5838.793739
0.75 -5838.793739
1 -5863.850088
1 -5863.850088
1 -5863.850088
1 -5863.850088
1 -5863.850088
1 -5863.850088
1 -5863.850088
1 -5863.850088
1 -5863.850088
1 -5863.850088
1 -5863.850088
1 -5863.850088
1 -5863.850088
1 -5863.850088
1 -5863.850088
